SubAreaId,timestamp,airTemperature,surfaceTemperature,waterThickness,friction
303,11/5/2016 4:00,-0.816176471,0.435672269,0.234063025,0.419306723
304,11/5/2016 2:00,-0.4,0.532839506,0.16317284,0.62308642
304,11/5/2016 4:00,-0.933450088,0.208695271,0.178378284,0.532285464
403,11/5/2016 4:00,-1.162702703,-0.219297297,0.066005405,0.703783784
405,11/5/2016 4:00,-1.158741259,-0.119370629,0.100895105,0.70034965
504,11/5/2016 4:00,-1.239873418,-0.24056962,0.176656646,0.500870253
101,11/5/2016 4:00,-1.1,0.404117647,0.138235294,0.707794118
102,11/5/2016 4:00,-1.1,1.1412,0.13776,0.7032
202,11/5/2016 6:00,-0.983561644,0.294474886,0.11190411,0.70826484
104,11/5/2016 4:00,-0.946791444,0.929278075,0.22886631,0.537139037
104,11/5/2016 6:00,-0.887113402,0.768247423,0.249958763,0.421099656
203,11/5/2016 6:00,-0.990544041,0.441670984,0.236838731,0.428516839
204,11/5/2016 6:00,-0.496887967,0.3193361,0.151195021,0.633485477
202,11/5/2016 6:00,-1.1,0.100053763,0.102682796,0.707311828
104,11/5/2016 6:00,-0.967567568,0.079864865,0.150202703,0.450945946
203,11/5/2016 6:00,-1.051282051,0.203076923,0.123307692,0.695384615
203,11/5/2016 8:00,-1.117857143,0.182767857,0.102053571,0.708839286
204,11/5/2016 6:00,-1.505089409,0.443026135,0.07525447,0.36694177
204,11/5/2016 8:00,-1.278139535,0.287953488,0.082723256,0.495418605
205,11/5/2016 6:00,-1.218666667,-0.167295238,0.107007619,0.695657143
205,11/5/2016 8:00,-1.653077609,0.051632471,0.248718109,0.302132025
202,11/5/2016 8:00,0.29137931,1.039137931,0.135979885,0.69091954
103,11/5/2016 8:00,0.028919861,1.426864111,0.140397213,0.65869338
301,11/5/2016 10:00,0.316216216,1.986,0.085010811,0.713837838
203,11/5/2016 8:00,0.493333333,1.198142857,0.120190476,0.704761905
203,11/5/2016 10:00,-0.070923077,1.584784615,0.118683077,0.704169231
104,11/5/2016 8:00,0.081101377,1.582453066,0.116926158,0.7022403
302,11/5/2016 10:00,0.351578947,2.193684211,0.115863158,0.698552632
402,11/5/2016 8:00,0.44516129,1.157634409,0.124064516,0.705268817
402,11/5/2016 10:00,0.4,1.6,0.078833333,0.71
303,11/5/2016 10:00,0.393478261,1.706956522,0.084652174,0.709347826
205,11/5/2016 8:00,0.263533835,1.112067669,0.153827068,0.469548872
205,11/5/2016 10:00,-0.389458805,1.352924071,0.155247577,0.529163974
304,11/5/2016 10:00,0.252792793,1.720558559,0.122852252,0.704558559
202,11/6/2016 0:00,0.663953488,2.030426357,0.15625969,0.701937984
203,11/5/2016 10:00,0.122916667,2.023484848,0.088339015,0.709412879
203,11/6/2016 0:00,0.90323488,2.240675105,0.152009845,0.707158931
402,11/5/2016 10:00,0.117647059,2.031176471,0.077117647,0.712647059
402,11/6/2016 0:00,4.85,1.786666667,0.12122807,0.707280702
204,11/6/2016 0:00,2.859079284,2.152352941,0.019074169,0.757992327
205,11/5/2016 10:00,0.328625235,2.245084746,0.164760829,0.704312618
205,11/6/2016 0:00,2.320564423,2.741202868,0.114431645,0.60418922
304,11/5/2016 10:00,0.154320988,1.918662551,0.118296296,0.705493827
101,11/6/2016 8:00,-2.805803571,-0.246473214,0.114428571,0.613303571
101,11/6/2016 10:00,-2.551973684,0.302697368,0.088710526,0.720526316
102,11/6/2016 10:00,-2.241541756,-0.509957173,0.025361884,0.377344754
202,11/6/2016 8:00,-3.3,-0.896666667,0.011888889,0.781666667
203,11/6/2016 8:00,-3.407990115,-1.70238056,0.069820428,0.719118616
401,11/6/2016 8:00,-3.15,-1.350698925,0.070532258,0.54938172
104,11/6/2016 8:00,-3.164240506,-0.447246835,0.076199367,0.721582278
204,11/6/2016 8:00,-3.041266599,-1.376179775,0.184093973,0.465730337
